0.000000e+00 	 0.000000e+00
2.500000e-03 	 4.346025e-06
5.000000e-03 	 7.370640e-06
7.500000e-03 	 9.331389e-06
1.000000e-02 	 1.044755e-05
1.250000e-02 	 1.090467e-05
1.500000e-02 	 1.085870e-05
1.750000e-02 	 1.043968e-05
2.000000e-02 	 9.755099e-06
2.250000e-02 	 8.892868e-06
2.500000e-02 	 7.924029e-06
2.750000e-02 	 6.905134e-06
3.000000e-02 	 5.880375e-06
3.250000e-02 	 4.883471e-06
3.500000e-02 	 3.939331e-06
3.750000e-02 	 3.065524e-06
4.000000e-02 	 2.273557e-06
4.250000e-02 	 1.569996e-06
4.500000e-02 	 9.574350e-07
4.750000e-02 	 4.353324e-07
5.000000e-02 	 7.293217e-10
5.250000e-02 	 3.511414e-07
5.500000e-02 	 6.263390e-07
5.750000e-02 	 8.317842e-07
6.000000e-02 	 9.749018e-07
6.250000e-02 	 1.063330e-06
6.500000e-02 	 1.104683e-06
6.750000e-02 	 1.106372e-06
7.000000e-02 	 1.075456e-06
7.250000e-02 	 1.018542e-06
7.500000e-02 	 9.417086e-07
7.750000e-02 	 8.504577e-07
8.000000e-02 	 7.496915e-07
8.250000e-02 	 6.437039e-07
8.500000e-02 	 5.361878e-07
8.750000e-02 	 4.302549e-07
9.000000e-02 	 3.284641e-07
9.250000e-02 	 2.328567e-07
9.500000e-02 	 1.449963e-07
9.750000e-02 	 6.601273e-08
1.000000e-01 	 3.353172e-09
1.025000e-01 	 6.270376e-08
1.050000e-01 	 1.119392e-07
1.075000e-01 	 1.512137e-07
1.100000e-01 	 1.808927e-07
1.125000e-01 	 2.015136e-07
1.150000e-01 	 2.137484e-07
1.175000e-01 	 2.183696e-07
1.200000e-01 	 2.162192e-07
1.225000e-01 	 2.081810e-07
1.250000e-01 	 1.951561e-07
1.275000e-01 	 1.780417e-07
1.300000e-01 	 1.577129e-07
1.325000e-01 	 1.350074e-07
1.350000e-01 	 1.107135e-07
1.375000e-01 	 8.556010e-08
1.400000e-01 	 6.020955e-08
1.425000e-01 	 3.525262e-08
1.450000e-01 	 1.120548e-08
1.475000e-01 	 1.149154e-08
1.500000e-01 	 3.247360e-08
1.525000e-01 	 5.144966e-08
1.550000e-01 	 6.819963e-08
1.575000e-01 	 8.257057e-08
1.600000e-01 	 9.447212e-08
1.625000e-01 	 1.038713e-07
1.650000e-01 	 1.107871e-07
1.675000e-01 	 1.152842e-07
1.700000e-01 	 1.174675e-07
1.725000e-01 	 1.174756e-07
1.750000e-01 	 1.154749e-07
1.775000e-01 	 1.116539e-07
1.800000e-01 	 1.062178e-07
1.825000e-01 	 9.938268e-08
1.850000e-01 	 9.137101e-08
1.875000e-01 	 8.240702e-08
1.900000e-01 	 7.271258e-08
1.925000e-01 	 6.250359e-08
1.950000e-01 	 5.198679e-08
1.975000e-01 	 4.135703e-08
2.000000e-01 	 3.079506e-08
2.025000e-01 	 2.046567e-08
2.050000e-01 	 1.051635e-08
2.075000e-01 	 1.076318e-09
2.100000e-01 	 7.744043e-09
2.125000e-01 	 1.585341e-08
2.150000e-01 	 2.317942e-08
2.175000e-01 	 2.966821e-08
2.200000e-01 	 3.528382e-08
2.225000e-01 	 4.000723e-08
2.250000e-01 	 4.383530e-08
2.275000e-01 	 4.677950e-08
2.300000e-01 	 4.886456e-08
2.325000e-01 	 5.012694e-08
2.350000e-01 	 5.061337e-08
2.375000e-01 	 5.037920e-08
2.400000e-01 	 4.948686e-08
2.425000e-01 	 4.800430e-08
2.450000e-01 	 4.600342e-08
2.475000e-01 	 4.355864e-08
2.500000e-01 	 4.074548e-08
2.525000e-01 	 3.763925e-08
2.550000e-01 	 3.431388e-08
2.575000e-01 	 3.084078e-08
2.600000e-01 	 2.728791e-08
2.625000e-01 	 2.371889e-08
2.650000e-01 	 2.019232e-08
2.675000e-01 	 1.676120e-08
2.700000e-01 	 1.347241e-08
2.725000e-01 	 1.036645e-08
2.750000e-01 	 7.477174e-09
2.775000e-01 	 4.831747e-09
2.800000e-01 	 2.450622e-09
2.825000e-01 	 3.476854e-10
2.850000e-01 	 1.469532e-09
2.875000e-01 	 2.999554e-09
2.900000e-01 	 4.246584e-09
2.925000e-01 	 5.220058e-09
2.950000e-01 	 5.934154e-09
2.975000e-01 	 6.407247e-09
3.000000e-01 	 6.661339e-09
3.025000e-01 	 6.721459e-09
3.050000e-01 	 6.615052e-09
3.075000e-01 	 6.371370e-09
3.100000e-01 	 6.020860e-09
3.125000e-01 	 5.594572e-09
3.150000e-01 	 5.123583e-09
3.175000e-01 	 4.638460e-09
3.200000e-01 	 4.168750e-09
3.225000e-01 	 3.742509e-09
3.250000e-01 	 3.385887e-09
3.275000e-01 	 3.122754e-09
3.300000e-01 	 2.974381e-09
3.325000e-01 	 2.959173e-09
3.350000e-01 	 3.092464e-09
3.375000e-01 	 3.386363e-09
3.400000e-01 	 3.849656e-09
3.425000e-01 	 4.487769e-09
3.450000e-01 	 5.302776e-09
3.475000e-01 	 6.293466e-09
3.500000e-01 	 7.455451e-09
3.525000e-01 	 8.781326e-09
3.550000e-01 	 1.026086e-08
3.575000e-01 	 1.188124e-08
3.600000e-01 	 1.362733e-08
3.625000e-01 	 1.548195e-08
3.650000e-01 	 1.742624e-08
3.675000e-01 	 1.943991e-08
3.700000e-01 	 2.150167e-08
3.725000e-01 	 2.358951e-08
3.750000e-01 	 2.568112e-08
3.775000e-01 	 2.775418e-08
3.800000e-01 	 2.978670e-08
3.825000e-01 	 3.175741e-08
3.850000e-01 	 3.364601e-08
3.875000e-01 	 3.543347e-08
3.900000e-01 	 3.710232e-08
3.925000e-01 	 3.863687e-08
3.950000e-01 	 4.002341e-08
